Dataset File,CER,WER,BLEU-4,ROUGE-L-F1,BERTScore-F1
04,30.73,39.63,60.73,80.32,36.38
07,28.27,34.57,62.59,80.09,35.78
08,40.12,62.26,32.74,59.61,30.79
14,48.98,74.62,36.98,63.22,35.56
15,32.69,56.17,35.60,76.47,31.85
18,18.03,41.01,46.12,70.79,35.30
21,15.64,28.22,61.98,79.43,32.66
39,43.89,76.81,32.23,57.03,32.25
40,32.13,51.90,29.78,57.91,28.32
23136,34.21,46.79,44.33,72.70,37.91
23138,44.00,64.52,29.21,59.56,31.66
