Dataset File,WER (%),CER (%),BLEU Error Rate (%),ROUGE Error Rate (%),BERT Error Rate (%)
23136,100,99.35,100,100,57.63
18,99.84,100,100,100,77.72
07,98.71,98.95,99.85,100,49.38
08,100,99.473,100,100,26.19
21,100,99.21,100,100,21.56
23138,100,99.21,100,100,21.56
