Dataset File,WER (%),CER (%),BLEU Error Rate (%),ROUGE Error Rate (%),BERT Error Rate (%)
23136,121.75,59.94,95.61,74.02,125.04
18,119,98.47,99.84,91.45,27.01
07,118.01,97.75,96.79,88.63,50.73
08,120,69.10,80.22,67.21,22.81
21,89.95,96.62,84.24,66.89,23.76
23138,124.45,78.90,81.62,69.20,155.95
