Dataset File,WER (%),CER (%),BLEU Error Rate (%),ROUGE Error Rate (%),BERT Error Rate (%)
23136,93.35,53.45,92.68,67.98,99.35
18,97.25,98.01,99.80,91.81,26.71
07,123.92,97.99,95.32,93.36,27.19
08,118.31,97.77,99.24,87.57,24.95
21,78.50,98.24,92.36,97.21,22.81
23138,128.62,99.16,99.67,88.15,25.34
